Feature,Importance,Contribution Range,Contribution (Correlation),Contribution (Linear Regression),Contbituion (Quantile Regression),Direction (Correlation),Direction (Linear Regression),Direction (Quantile Regression),Feature,Importance,Contribution Range,Contribution (Correlation),Contribution (Linear Regression),Contbituion (Quantile Regression),Direction (Correlation),Direction (Linear Regression),Direction (Quantile Regression)
Oman,0.008660659596755198,0.018032477031779723,0.12289260210078069,0.005253373489195616,-0.05360333408031724,+,+,-,rn_day,0.02102292827810483,0.05626588611535144,-0.4653327524536619,-0.5844647222857086,-6.1024741175191,-,-,-
CCI,0.006041348110603782,0.006041348110603782,0.07669764617409003,0.004866697705323429,0.004866697705323429,+,+,+,NEWCASTLE_COAL_roll5_mean,0.022614219074498582,0.022614219074498582,-0.4551372943545543,-0.07219310665313666,0.04676278061391487,-,-,+
KRX_ENG,0.02370538111833542,0.02370538111833542,0.0549193868125572,0.008856725053615169,0.10622964620413201,+,+,+,KRX_IRON,0.014205248501658782,0.018764256011449716,-0.4240688584061361,-0.035944479905056836,-0.09116083483209496,-,-,-
KRX_CEMENT,0.010743360397950388,0.01749521083723152,0.010487253274065562,0.00028068037434576175,0.015466453358793236,+,+,+,IIP_MFG,0.012245879257658885,0.021038842885315,-0.4161129350708815,-0.024019017480432756,0.0,-,-,+
,,,,,,,,,smp_window_mean_roll20_mean,0.020348682874615796,0.020348682874615796,-0.4126132666184222,-0.04422976973259093,-0.09628945755290232,-,-,-
,,,,,,,,,NEWCASTLE_COAL_lag1,0.033695356398220286,0.033695356398220286,-0.4058144243707629,-0.12483336153314341,-0.16054402770935852,-,-,-
,,,,,,,,,EXPORT,0.04980189377846297,0.04980189377846297,-0.390208484162532,-0.03606859082513086,-0.061019331529617735,-,-,-
,,,,,,,,,Brent,0.01638606127487362,0.03713516890821726,-0.35475578511794986,-0.036858573995680106,0.006903342478827823,-,-,+
,,,,,,,,,KOSPI,0.007439434314698508,0.012005185921565685,-0.3386391065145979,-0.014959794473663135,-0.009860818118049954,-,-,-
,,,,,,,,,ta_avg_dev_abs,0.0471646386884262,0.09848740944789403,-0.1856617983534765,-0.05827549872260272,0.3429867547271816,-,-,+
,,,,,,,,,rn_day_window_mean,0.0233226556503012,0.07433755881331494,-0.1276165196131244,-0.2000274541697675,6.137217312499359,-,-,+
,,,,,,,,,BSI_E,0.02804252386747261,0.02804252386747261,-0.05179400038804707,-0.02046908291944759,-0.02046908291944759,-,-,-
,,,,,,,,,KRX_ENERGY,0.019504697630459627,0.03482813237176456,-0.03439927672212476,-0.00263953168378716,-0.02417198966161094,-,-,-
