Algorithm,Dataset,N,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F1-score,Accuracy,Balanced Accuracy,AUC
Logistic Regression,Train set,1510,528,374,381,227,0.5808580858085809,0.6993377483443709,0.495364238410596,0.6346153846153846,0.5973509933774834,0.5973509933774834,0.6425858514977414
Logistic Regression,Validation(CV),186,82,3,100,1,0.45054945054945056,0.9879518072289156,0.02912621359223301,0.6188679245283019,0.45698924731182794,0.5085390104105744,0.5366709556673296
Logistic Regression,Test set,56,18,9,19,10,0.4864864864864865,0.6428571428571429,0.32142857142857145,0.5538461538461539,0.48214285714285715,0.4821428571428572,0.46683673469387754
Logistic Regression,Entire population,1566,546,383,400,237,0.5771670190274841,0.6973180076628352,0.4891443167305236,0.631578947368421,0.5932311621966795,0.5932311621966795,0.6377948389222446
Random Forest,Train set,1510,588,631,124,167,0.8258426966292135,0.7788079470198676,0.8357615894039735,0.8016359918200409,0.8072847682119205,0.8072847682119205,0.8975080040349108
Random Forest,Validation(CV),186,68,15,88,15,0.4358974358974359,0.8192771084337349,0.14563106796116504,0.5690376569037657,0.44623655913978494,0.48245408819744995,0.5297110773189846
Random Forest,Test set,56,25,5,23,3,0.5208333333333334,0.8928571428571429,0.17857142857142858,0.6578947368421053,0.5357142857142857,0.5357142857142857,0.4438775510204082
Random Forest,Entire population,1566,613,636,147,170,0.8065789473684211,0.7828863346104725,0.8122605363984674,0.7945560596241089,0.79757343550447,0.7975734355044699,0.8847124968805508
XGBoost,Train set,1510,755,115,640,0,0.5412186379928315,1.0,0.152317880794702,0.7023255813953488,0.5761589403973509,0.576158940397351,0.8628025086619007
XGBoost,Validation(CV),186,83,1,102,0,0.4486486486486487,1.0,0.009708737864077669,0.6194029850746269,0.45161290322580644,0.5048543689320388,0.48929699380044445
XGBoost,Test set,56,28,0,28,0,0.5,1.0,0.0,0.6666666666666666,0.5,0.5,0.5714285714285714
XGBoost,Entire population,1566,783,115,668,0,0.5396278428669883,1.0,0.14687100893997446,0.7009847806624888,0.5734355044699873,0.5734355044699873,0.8486369841898974
LightGBM,Train set,1510,510,456,299,245,0.630407911001236,0.6754966887417219,0.6039735099337749,0.6521739130434783,0.6397350993377483,0.6397350993377484,0.6953695013376607
LightGBM,Validation(CV),186,82,4,99,1,0.4530386740331492,0.9879518072289156,0.038834951456310676,0.6212121212121212,0.46236559139784944,0.5133933793426132,0.5144461340507662
LightGBM,Test set,56,2,23,5,26,0.2857142857142857,0.07142857142857142,0.8214285714285714,0.11428571428571428,0.44642857142857145,0.4464285714285714,0.423469387755102
LightGBM,Entire population,1566,512,479,304,271,0.6274509803921569,0.6538952745849298,0.611749680715198,0.6404002501563477,0.6328224776500638,0.6328224776500639,0.6884938402091703
CatBoost,Train set,1510,755,755,0,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
CatBoost,Validation(CV),186,61,38,65,22,0.47058823529411764,0.7710843373493976,0.30097087378640774,0.5844748858447488,0.510752688172043,0.5360276055679027,0.5216984442624868
CatBoost,Test set,56,8,19,9,20,0.47058823529411764,0.2857142857142857,0.6785714285714286,0.35555555555555557,0.48214285714285715,0.48214285714285715,0.4438775510204082
CatBoost,Entire population,1566,763,774,9,20,0.9883419689119171,0.9744572158365262,0.9885057471264368,0.9813504823151126,0.9814814814814815,0.9814814814814815,0.9990833304789354
