Algorithm,Dataset,N,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F1-score,Accuracy,Balanced Accuracy,AUC
Logistic Regression,Train set,1510,528,374,381,227,0.5808580858085809,0.6993377483443709,0.495364238410596,0.6346153846153846,0.5973509933774834,0.5973509933774834,0.6425858514977414
Logistic Regression,Validation(CV),186,82,3,100,1,0.45054945054945056,0.9879518072289156,0.02912621359223301,0.6188679245283019,0.45698924731182794,0.5085390104105744,0.5366709556673296
Logistic Regression,Test set,56,18,9,19,10,0.4864864864864865,0.6428571428571429,0.32142857142857145,0.5538461538461539,0.48214285714285715,0.4821428571428572,0.46683673469387754
Logistic Regression,Entire population,1566,546,383,400,237,0.5771670190274841,0.6973180076628352,0.4891443167305236,0.631578947368421,0.5932311621966795,0.5932311621966795,0.6377948389222446
