Algorithm,Dataset,N,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F1-score,Accuracy,Balanced Accuracy,AUC
LightGBM,Train set,1510,510,456,299,245,0.630407911001236,0.6754966887417219,0.6039735099337749,0.6521739130434783,0.6397350993377483,0.6397350993377484,0.6953695013376607
LightGBM,Validation(CV),186,82,4,99,1,0.4530386740331492,0.9879518072289156,0.038834951456310676,0.6212121212121212,0.46236559139784944,0.5133933793426132,0.5144461340507662
LightGBM,Test set,56,2,23,5,26,0.2857142857142857,0.07142857142857142,0.8214285714285714,0.11428571428571428,0.44642857142857145,0.4464285714285714,0.423469387755102
LightGBM,Entire population,1566,512,479,304,271,0.6274509803921569,0.6538952745849298,0.611749680715198,0.6404002501563477,0.6328224776500638,0.6328224776500639,0.6884938402091703
