Algorithm,Dataset,N,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F1-score,Accuracy,Balanced Accuracy,AUC
XGBoost,Train set,1510,755,115,640,0,0.5412186379928315,1.0,0.152317880794702,0.7023255813953488,0.5761589403973509,0.576158940397351,0.8628025086619007
XGBoost,Validation(CV),186,83,1,102,0,0.4486486486486487,1.0,0.009708737864077669,0.6194029850746269,0.45161290322580644,0.5048543689320388,0.48929699380044445
XGBoost,Test set,56,28,0,28,0,0.5,1.0,0.0,0.6666666666666666,0.5,0.5,0.5714285714285714
XGBoost,Entire population,1566,783,115,668,0,0.5396278428669883,1.0,0.14687100893997446,0.7009847806624888,0.5734355044699873,0.5734355044699873,0.8486369841898974
