Algorithm,Dataset,N,True Positive,True Negative,False Positive,False Negative,Precision,Recall,Specificity,F1-score,Accuracy,Balanced Accuracy,AUC
Random Forest,Train set,1510,588,631,124,167,0.8258426966292135,0.7788079470198676,0.8357615894039735,0.8016359918200409,0.8072847682119205,0.8072847682119205,0.8975080040349108
Random Forest,Validation(CV),186,68,15,88,15,0.4358974358974359,0.8192771084337349,0.14563106796116504,0.5690376569037657,0.44623655913978494,0.48245408819744995,0.5297110773189846
Random Forest,Test set,56,25,5,23,3,0.5208333333333334,0.8928571428571429,0.17857142857142858,0.6578947368421053,0.5357142857142857,0.5357142857142857,0.4438775510204082
Random Forest,Entire population,1566,613,636,147,170,0.8065789473684211,0.7828863346104725,0.8122605363984674,0.7945560596241089,0.79757343550447,0.7975734355044699,0.8847124968805508
