"ID","문A1-1.귀하께서 참여하신 교육 과정은 무엇입니까?","문B1.귀하께서는 지난 1년 간(2013년 7월 - 2014년 6월)다음 유형의 비형식 교육에 참여한 경험이 있습니까? - 1)일정 장소에서 강사가 강의하는 강좌","문B1.귀하께서는 지난 1년 간(2013년 7월 - 2014년 6월)다음 유형의 비형식 교육에 참여한 경험이 있습니까? - 2)직장 내 직무 연수 프로그램","문B1.귀하께서는 지난 1년 간(2013년 7월 - 2014년 6월)다음 유형의 비형식 교육에 참여한 경험이 있습니까? - 3)원격/사이버 강좌 수강","문B1.귀하께서는 지난 1년 간(2013년 7월 - 2014년 6월)다음 유형의 비형식 교육에 참여한 경험이 있습니까? - 4)전문적인 세미나 및 워크숍^학습 동아리","문B1.귀하께서는 지난 1년 간(2013년 7월 - 2014년 6월)다음 유형의 비형식 교육에 참여한 경험이 있습니까? - 5)기타 강좌 및 개인교습","문B2(개).지난 1년간(2013년 7월 -  2014년 6월)비형식 교육에 참여한 프로그램 수는 몇개 입니까? - (1)학력보완 교육","문B2(개).지난 1년간(2013년 7월 -  2014년 6월)비형식 교육에 참여한 프로그램 수는 몇개 입니까? - (2)성인기초 및 문자해득교육","문B2(개).지난 1년간(2013년 7월 -  2014년 6월)비형식 교육에 참여한 프로그램 수는 몇개 입니까? - (3)직업능력향상교육","문B2(개).지난 1년간(2013년 7월 -  2014년 6월)비형식 교육에 참여한 프로그램 수는 몇개 입니까? - (4)인문교양교육","문B2(개).지난 1년간(2013년 7월 -  2014년 6월)비형식 교육에 참여한 프로그램 수는 몇개 입니까? - (5)문화예술 스포츠 교육","문B2(개).지난 1년간(2013년 7월 -  2014년 6월)비형식 교육에 참여한 프로그램 수는 몇개 입니까? - (6)시민참여교육","문C1(참여경험).귀하께서는 지난 1년 간(2013년 7월 - 2014년 6월) 다음과 같은 무형식학습에 참여해 본 적이 있으십니까? - 1)가족^ 친구 또는 직장동료나 상사의 도움이나 조언을 통해 학습한 적이 ?F1","문C1(참여경험).귀하께서는 지난 1년 간(2013년 7월 - 2014년 6월) 다음과 같은 무형식학습에 참여해 본 적이 있으십니까? - 2)컴퓨터나 인터넷을 활용해서 새로운 정보나 사실을 학습한 적이 있다","문C1(참여경험).귀하께서는 지난 1년 간(2013년 7월 - 2014년 6월) 다음과 같은 무형식학습에 참여해 본 적이 있으십니까? - 3)학습을 목적으로 텔레비전^ 라디오^ 비디오를 활용해서 학습한 적이 있다","문C1(참여경험).귀하께서는 지난 1년 간(2013년 7월 - 2014년 6월) 다음과 같은 무형식학습에 참여해 본 적이 있으십니까? - 4)인쇄매체(책이나 전문잡지 등)를 활용해서 학습해 본 적이 있다","문C1(참여경험).귀하께서는 지난 1년 간(2013년 7월 - 2014년 6월) 다음과 같은 무형식학습에 참여해 본 적이 있으십니까? - 5)역사적.자연적.산업적 장소를 방문해서 학습한 적이 있다","문C1(참여경험).귀하께서는 지난 1년 간(2013년 7월 - 2014년 6월) 다음과 같은 무형식학습에 참여해 본 적이 있으십니까? - 6)도서관 등을 방문해서 학습한 적이 있다","문C1(참여경험).귀하께서는 지난 1년 간(2013년 7월 - 2014년 6월) 다음과 같은 무형식학습에 참여해 본 적이 있으십니까? - 7)축제^ 박람회^ 음악회 등을 통해 학습한 적이 있다","문E1.귀하께서는 지난 1년 간(2013년 7월 - 2014년 6월) 교육과 학습 참여를 목적으로 관련 정보를 찾아본 경험이 있습니까?","문E1-1.귀하께서는 원하시는 정보를 얻으셨습니까?","문F1-(1).학습경험여부 - 1)영어","문F1-(3)-1.공인시험점수-공인시험 경험 여부 - 1)영어","문F1-(1).학습경험여부 - 2)중국어","문F1-(3)-1.공인시험점수-공인시험 경험 여부 - 2)중국어","문F1-(1).학습경험여부 - 3)일본어","문F1-(3)-1.공인시험점수-공인시험 경험 여부 - 3)일본어","문F2.지난 1년 간(2013년 7월 ~ 2014년 6월) 해당 외국어를 얼마나 자주 사용하셨습니까? - 1)영어","문F5-1) 컴퓨터 활용.컴퓨터와 관련된 다음의 각 영역에 대해서 귀하의 활용능력 수준을 답해 주시기 바랍니다.","문F5-2) 워드프로세서(한글^ MS 워드 등) 작성.컴퓨터와 관련된 다음의 각 영역에 대해서 귀하의 활용능력 수준을 답해 주시기 바랍니다.","문F5-3) 엑셀 활용.컴퓨터와 관련된 다음의 각 영역에 대해서 귀하의 활용능력 수준을 답해 주시기 바랍니다.","문G2.귀하께서는 대다수의 사람들이 기회만 있으면 당신을 이용하려고 한다고 생각하십니까 아니면 정당하게 대우해 준다고 생각하십니까?","문G6.귀하께서는 정치에 얼마나 관심을 갖고 계십니까?","문G13.귀하의 건강은 전반적으로 어떠십니까?","문G15-1.평생학습 참여가 삶의 질 향상에 얼마나 도움이 되었습니까? 또는 평생학습에 참여하지 않으셨다면 얼마나 도움이 될 것이라고 생각하십니까?","성별","연령별(10세)","학력별","경활상태","월 가구소득","지역","가중치","형식교육","비형식교육","전체참여자","직업관련비형식참여자","형식학습 투자시간","비형식교육 투여시간(전체)","직업관련 비형식교육 투여시간","평생학습 개인투자 비용(전체)","형식학습 투자비용","비형식교육  개인투자비용(전체)"
209501,,1,1,2,2,2,0,0,1,0,0,0,2,2,1,1,2,2,2,2,,1,2,2,,2,,2,3,2,2,5,2,4,4,2,1,3,1,4,2,1896.6956231,2,1,1,1,,146,146,40,,40
209502,,2,2,2,2,2,,,,,,,2,2,2,2,2,2,2,2,,1,2,2,,1,2,1,2,2,2,3,4,3,4,1,2,3,1,4,2,2968.8515353,2,2,2,2,,,,,,
209601,,2,2,2,2,2,,,,,,,2,1,2,2,2,2,2,1,1,1,2,2,,2,,1,1,2,2,5,3,3,5,1,3,2,3,3,2,2774.7651486,2,2,2,2,,,,,,
209701,,2,2,2,2,2,,,,,,,2,2,2,2,2,2,2,2,,1,2,2,,1,2,5,4,3,4,7,2,4,2,1,1,3,1,3,2,2409.5044875,2,2,2,2,,,,,,
209702,,2,2,2,2,2,,,,,,,2,2,2,2,2,2,2,2,,1,2,2,,1,2,1,3,3,3,5,1,3,3,2,2,3,3,3,2,2046.5029816,2,2,2,2,,,,,,
209801,,2,2,2,2,2,,,,,,,2,2,1,2,2,2,1,2,,1,2,2,,1,2,1,1,1,1,7,2,2,3,2,4,1,3,2,1,1680.5946856,2,2,2,2,,,,,,
209901,,2,1,2,2,2,0,0,1,0,0,0,2,2,1,2,2,2,1,2,,1,2,2,,2,,1,1,1,1,8,3,4,3,2,4,1,1,2,1,1680.5946856,2,1,1,1,,16,16,0,,0
210001,,2,1,2,2,2,0,0,1,0,0,0,2,2,1,2,2,2,1,2,,1,2,2,,2,,3,3,3,3,7,2,4,3,1,4,3,1,4,1,2217.0980485,2,1,1,1,,16,16,0,,0
210002,,1,2,2,2,2,0,0,0,0,2,0,2,2,1,2,2,2,1,2,,1,2,2,,1,2,3,2,2,2,8,2,3,3,2,4,3,3,4,1,1890.3609471,2,1,1,2,,240,,36,,36
21001,,2,1,2,2,2,0,0,1,0,0,0,2,2,2,2,2,2,2,2,,1,2,2,,2,,1,1,1,1,3,2,3,4,2,4,1,1,1,2,2572.5450209,2,1,1,1,,16,16,0,,0
210101,,2,1,2,2,2,0,0,1,0,0,0,2,1,2,2,2,2,2,2,,1,2,2,,1,2,3,2,2,2,7,3,4,3,1,3,3,1,4,1,4206.886186,2,1,1,1,,16,16,0,,0
210102,,2,2,2,2,2,,,,,,,2,1,2,2,2,1,2,2,,1,2,2,,2,,2,2,2,2,7,2,4,3,2,3,3,1,4,1,1867.8870677,2,2,2,2,,,,,,
210201,,2,2,2,2,2,,,,,,,2,2,2,2,2,2,1,2,,1,2,2,,2,,1,1,1,1,5,2,4,3,2,3,2,1,2,1,1867.8870677,2,2,2,2,,,,,,
210301,,2,1,2,2,2,0,0,1,0,0,0,1,1,1,2,2,2,2,1,1,1,2,2,,1,2,3,2,2,1,10,3,4,3,1,4,3,1,4,1,1974.9652604,2,1,1,1,,64,64,2,,2
210302,,2,2,2,2,2,,,,,,,1,1,1,2,2,1,1,2,,1,2,2,,2,,1,3,3,2,10,4,5,3,2,3,1,3,4,1,1867.8870677,2,2,2,2,,,,,,
210303,,2,1,2,2,2,0,0,1,0,0,0,2,1,1,2,2,1,2,1,1,1,1,2,,1,2,2,3,3,2,7,2,5,3,2,1,3,2,4,1,2588.8463846,2,1,1,1,,338,338,50,,50
210304,6,2,2,2,2,2,,,,,,,2,2,2,2,2,2,1,2,,1,2,2,,1,2,3,2,2,2,8,2,4,3,2,1,3,3,4,1,3995.101145,1,2,1,2,432,,,1000,1000,
210401,,2,1,2,2,2,0,0,1,0,0,0,2,2,1,2,2,2,2,2,,1,2,2,,2,,2,2,2,2,9,3,4,3,1,4,3,1,4,1,1974.9652604,2,1,1,1,,16,16,0,,0
210402,,1,2,2,2,2,0,0,0,0,1,0,2,2,1,1,2,2,2,2,,1,2,2,,1,2,3,1,1,1,8,2,2,3,2,3,2,3,4,1,1867.8870677,2,1,1,2,,52,,40,,40
210403,3,2,2,2,2,2,,,,,,,2,1,2,1,2,1,2,1,1,1,2,2,,2,,3,3,3,2,6,2,5,3,1,1,2,3,4,1,3753.683986,1,2,1,2,840,,,700,700,
210501,,2,1,2,2,2,0,0,1,0,0,0,2,1,1,2,1,2,1,1,1,1,2,2,,2,,4,3,3,3,9,3,5,3,1,2,3,1,4,1,2950.1947488,2,1,1,1,,30,30,0,,0
210502,,1,1,1,2,2,0,0,2,1,0,0,1,1,1,1,1,1,1,1,1,1,2,2,,2,,3,3,3,3,10,3,5,4,2,2,3,1,4,1,2531.9567779,2,1,1,1,,454,454,82,,82
210601,,2,2,2,2,2,,,,,,,1,2,1,2,2,2,2,2,,1,2,2,,2,,2,1,1,1,6,2,3,3,1,3,3,3,4,1,3214.0629515,2,2,2,2,,,,,,
210602,,2,1,2,2,2,0,0,1,0,0,0,2,2,2,2,1,1,2,1,1,1,2,2,,2,,2,2,2,2,8,2,5,3,2,3,2,1,4,1,1867.8870677,2,1,1,1,,16,16,0,,0
210603,,2,1,2,2,2,0,0,1,0,0,0,2,1,1,2,2,2,1,1,1,1,2,2,,1,2,4,3,3,3,8,2,4,3,2,1,3,1,4,1,2588.8463846,2,1,1,1,,10,10,0,,0
210604,,2,2,2,2,2,,,,,,,2,1,2,2,1,1,2,1,1,1,2,2,,2,,2,3,3,2,5,2,4,3,2,1,3,2,4,1,3995.101145,2,2,2,2,,,,,,
210701,,2,1,2,2,2,0,0,1,0,0,0,2,1,1,2,1,2,1,2,,1,2,2,,2,,2,3,3,2,9,3,4,4,1,4,3,1,4,1,1974.9652604,2,1,1,1,,90,90,6,,6
210702,,2,1,2,2,2,0,0,1,0,0,0,2,2,1,2,2,2,2,2,,1,2,2,,1,2,3,2,2,2,8,3,5,3,2,4,3,1,4,1,1680.5946856,2,1,1,1,,16,16,0,,0
210703,3,1,2,1,2,2,0,0,1,2,0,0,2,1,1,1,1,1,1,1,1,1,1,2,,2,,4,3,3,3,8,2,5,3,1,1,2,3,4,1,3753.683986,1,1,1,1,560,446,158,985,700,285
210801,,2,1,2,2,2,0,0,1,0,0,0,2,1,1,2,2,1,2,2,,1,2,2,,1,2,4,2,2,2,8,4,5,3,1,4,3,1,4,1,1974.9652604,2,1,1,1,,16,16,0,,0
210802,,2,1,2,2,2,0,0,1,0,0,0,2,1,1,2,2,2,1,2,,1,2,2,,2,,2,2,2,2,7,2,4,3,2,3,3,1,4,1,1867.8870677,2,1,1,1,,2,2,0,,0
210901,,2,1,2,2,2,0,0,1,0,0,0,2,1,1,1,2,1,2,1,1,1,2,2,,2,,2,3,3,3,9,3,5,3,1,4,3,1,4,1,1974.9652604,2,1,1,1,,130,130,30,,30
210902,,2,2,2,2,2,,,,,,,2,1,2,2,2,2,2,2,,1,2,2,,2,,2,1,1,1,7,2,4,3,2,4,3,3,4,1,1680.5946856,2,2,2,2,,,,,,
211001,,2,1,2,2,2,0,0,1,0,0,0,2,2,1,2,2,2,1,2,,1,2,2,,2,,2,2,2,3,9,2,4,3,1,3,3,1,3,1,4206.886186,2,1,1,1,,16,16,0,,0
211002,,2,2,2,2,2,,,,,,,2,2,1,2,2,2,1,2,,1,2,1,2,2,,2,2,2,1,8,4,4,3,2,3,3,3,3,1,3512.1804071,2,2,2,2,,,,,,
21101,,2,2,2,2,1,0,0,0,0,1,0,2,2,2,2,2,2,2,2,,1,2,2,,2,,1,1,1,1,7,3,4,4,1,1,3,1,2,2,4102.3276346,2,1,1,2,,48,,13,,13
211101,,2,2,2,2,2,,,,,,,2,1,1,2,2,2,2,2,,1,2,2,,2,,1,1,1,1,5,1,3,4,1,2,2,1,4,1,2748.5981076,2,2,2,2,,,,,,
211102,,1,1,1,1,2,0,0,1,3,0,0,1,1,1,2,1,2,1,1,1,1,2,2,,1,2,1,3,1,1,6,2,3,4,1,3,3,1,4,1,3919.41563,2,1,1,1,,242,64,425,,425
211201,3,1,2,2,2,2,0,0,1,0,0,0,1,1,1,1,1,1,1,2,,1,2,1,1,2,,5,4,4,3,9,3,4,4,1,1,3,1,3,1,3497.182247,1,1,1,1,560,68,68,408,400,8
211301,,2,1,2,1,1,0,0,2,0,1,0,1,1,1,1,1,2,1,1,1,1,2,2,,1,2,1,4,4,4,10,1,3,2,2,2,2,1,4,1,2714.2235555,2,1,1,1,,127,126,12,,12
211401,,1,1,1,1,1,0,0,10,2,0,0,1,1,1,2,2,1,1,1,1,1,2,2,,2,,5,3,3,2,8,3,5,3,1,1,3,1,3,1,2136.127001,2,1,1,1,,112,112,2,,2
211501,,1,1,2,2,2,0,0,2,1,1,0,1,1,1,1,1,2,2,1,1,1,2,2,,1,2,5,3,3,1,5,3,4,4,2,1,3,1,3,1,2411.9418816,2,1,1,1,,15,4,3,,3
211601,,1,1,1,1,1,0,0,1,3,1,0,1,1,1,1,1,1,1,1,1,1,2,2,,2,,3,3,3,2,10,3,4,4,1,2,3,1,4,1,2748.5981076,2,1,1,1,,188,188,102,,102
211602,,1,1,1,2,2,0,0,1,2,0,0,2,1,2,1,2,2,2,2,,1,2,2,,2,,2,4,3,3,8,3,4,4,2,2,3,1,4,1,2714.2235555,2,1,1,1,,238,238,11,,11
211701,,2,2,2,2,1,0,0,0,0,1,0,1,1,1,1,1,2,1,2,,1,2,2,,2,,1,2,2,2,8,1,4,3,2,3,2,3,4,1,1740.248118,2,1,1,2,,480,,60,,60
211702,,1,2,2,1,1,0,0,0,0,1,1,1,1,2,1,1,2,1,1,1,1,2,2,,2,,1,2,2,2,5,3,4,5,1,3,2,1,4,1,3919.41563,2,1,1,1,,34,34,240,,240
211801,,1,2,2,2,2,0,0,1,0,0,0,2,2,1,1,2,2,1,1,1,1,1,2,,2,,5,2,2,2,9,1,4,4,2,2,3,1,3,1,2358.9397314,2,1,1,1,,200,200,40,,40
211802,,1,1,2,1,2,0,0,3,0,0,0,1,1,1,1,2,2,2,2,,1,2,2,,2,,1,3,3,3,9,4,3,4,1,2,3,1,3,1,2748.5981076,2,1,1,1,,110,110,6,,6
211901,,2,2,1,2,2,0,0,0,1,0,0,1,1,1,1,1,1,2,2,,1,2,2,,2,,1,4,3,3,5,2,2,4,2,2,2,1,4,1,2358.9397314,2,1,1,2,,6,,2,,2
212001,,2,1,2,2,2,0,0,1,0,0,0,1,2,1,2,1,2,2,2,,1,2,1,2,2,,2,2,2,2,6,3,4,4,2,3,3,1,4,1,3272.1814126,2,1,1,1,,85,85,10,,10
212002,,2,1,2,1,1,0,0,1,0,1,0,2,1,2,1,2,2,2,1,1,1,2,2,,1,2,4,4,4,3,8,3,3,4,1,3,3,1,4,1,2994.4353165,2,1,1,1,,122,50,48,,48
21201,,2,1,2,2,2,0,0,1,0,0,0,2,2,2,2,2,2,2,2,,1,2,2,,2,,1,1,1,1,5,2,4,4,1,4,1,1,4,2,2826.6411727,2,1,1,1,,16,16,0,,0
21202,,2,2,2,2,2,,,,,,,2,2,2,2,2,2,2,1,2,1,2,2,,2,,1,1,1,1,7,2,3,4,2,4,1,1,4,2,2492.8721829,2,2,2,2,,,,,,
21203,,2,1,2,2,2,0,0,2,0,0,0,2,2,2,2,2,2,2,1,1,1,1,2,,2,,4,3,3,3,5,2,5,4,2,1,3,1,4,2,3129.228469,2,1,1,1,,72,72,5,,5
21204,,2,2,2,2,2,,,,,,,2,1,1,1,1,1,2,2,,1,2,2,,2,,5,3,3,3,4,2,5,4,1,1,3,2,4,2,6062.6527967,2,2,2,2,,,,,,
212101,,2,2,2,2,2,,,,,,,1,1,1,2,2,2,1,2,,1,2,2,,1,2,1,3,1,1,9,2,4,4,2,4,2,3,4,1,1685.1575299,2,2,2,2,,,,,,
212102,,2,2,2,2,2,,,,,,,2,1,1,1,2,2,1,2,,1,2,1,2,2,,1,3,3,3,8,2,5,4,1,4,2,1,4,1,2279.6729229,2,2,2,2,,,,,,
212103,,1,2,2,2,2,0,0,0,0,1,0,1,1,1,1,1,2,1,1,1,1,2,2,,1,2,3,3,3,3,5,3,5,5,2,1,3,1,4,1,2255.9819528,2,1,1,2,,144,,57,,57
212201,,2,2,2,2,2,,,,,,,1,2,1,2,2,2,2,2,,2,,2,,2,,1,1,1,1,9,3,3,4,2,4,1,1,3,1,1685.1575299,2,2,2,2,,,,,,
